id,title,author,book_page_url,image_url
33,The Seventh Cross,Anna Seghers,https://www.nyrb.com/collections/classics/products/the-seventh-cross,https://cdn.shopify.com/s/files/1/0726/9203/products/seghers.with-hi-res.2_large.jpeg?v=1511294903
34,Compulsory Games,Robert Aickman,https://www.nyrb.com/collections/classics/products/compulsory-games,https://cdn.shopify.com/s/files/1/0726/9203/products/9_-_Compulsory_Games_large.jpg?v=1505252855
35,Basic Black with Pearls,Helen Weinzweig,https://www.nyrb.com/collections/classics/products/basic-black-with-pearls,https://cdn.shopify.com/s/files/1/0726/9203/products/Basic_Black_with_Pearls_large.jpg?v=1521040425
36,The Life and Opinions of Zacharias Lichter,Matei Calinescu,https://www.nyrb.com/collections/classics/products/the-life-and-opinions-of-zacharias-lichter,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Life_and_Opinions_of_Zacharias_Lichter_large.jpg?v=1518125514
37,Jigsaw,Sybille Bedford,https://www.nyrb.com/collections/classics/products/jigsaw,https://cdn.shopify.com/s/files/1/0726/9203/products/bedford.jigsaw_final_hi-res_large.jpg?v=1504731306
38,Ivory Pearl,Jean-Patrick Manchette,https://www.nyrb.com/collections/classics/products/ivory-pearl,https://cdn.shopify.com/s/files/1/0726/9203/products/Ivory_Pearl_cvr_large.jpg?v=1520369774
39,Kolyma Stories,Varlam Shalamov,https://www.nyrb.com/collections/classics/products/kolyma-stories,https://cdn.shopify.com/s/files/1/0726/9203/products/7_-_Kolyma_Stories_large.jpg?v=1504042742
40,The Kremlin Ball,Curzio Malaparte,https://www.nyrb.com/collections/classics/products/the-kremlin-ball,https://cdn.shopify.com/s/files/1/0726/9203/products/malaparte.1_large.jpg?v=1508165488
41,All for Nothing,Walter Kempowski,https://www.nyrb.com/collections/classics/products/all-for-nothing,https://cdn.shopify.com/s/files/1/0726/9203/products/All_for_Nothing_large.jpg?v=1517853929
42,Anniversaries,Uwe Johnson,https://www.nyrb.com/collections/classics/products/anniversaries,https://cdn.shopify.com/s/files/1/0726/9203/products/Anniversaries_box_image_large.jpg?v=1531429121
43,Berlin Alexanderplatz,Alfred Döblin,https://www.nyrb.com/collections/classics/products/berlin-alexanderplatz,https://cdn.shopify.com/s/files/1/0726/9203/products/doblin_cvr_new_COLORS_large.jpg?v=1509035965
44,The Memoirs of Two Young Wives,Honoré de Balzac,https://www.nyrb.com/collections/classics/products/the-memoirs-of-two-young-wives,https://cdn.shopify.com/s/files/1/0726/9203/products/The_Memoirs_of_Two_Young_Wives_large.jpg?v=1510693626
45,The Juniper Tree,Barbara Comyns,https://www.nyrb.com/collections/classics/products/the-juniper-tree,https://cdn.shopify.com/s/files/1/0726/9203/products/comyns.1_large.jpg?v=1492185843
