book_id,author
137,"John Wilmot, Earl of Rochester"
138,Nancy Mitford
139,Ivan Turgenev
140,Maude Hutchins
141,Mavis Gallant
142,John Updike
142,Arthur C. Danto
142,Elizabeth Hardwick
142,Francine Prose
142,Michael Cunningham
142,James Wood
142,Colm Tóibín
142,Toni Morrison
142,Eliot Weinberger
142,Jonathan Lethem
142,Lydia Davis
142,Luc Sante
142,Susan Sontag
143,Victor Serge
144,Ramon del Valle-Inclán
145,Patrick Hamilton
146,Nathaniel Hawthorne
147,Russell Hoban
148,Yasushi Inoue
149,J.G. Farrell
150,Georges Simenon
151,Benito Pérez Galdós
152,Anna Seghers
153,Sanford Friedman
154,Leonardo Sciascia
155,Silvina Ocampo
156,Yashar Kemal
157,Thomas Flanagan
158,M.I. Finley
159,Helen Keller
160,Bruce Duffy
161,Richard Hughes
162,Tove Jansson
163,Leonardo Sciascia
164,Tayeb Salih
165,Nicolas Bouvier
166,Georg Christoph Lichtenberg
167,H.G. Wells
168,Malcolm Lowry
169,Barbara Comyns
170,Aleksandar Tišma
171,Saki
172,Tess Slesinger
173,Honoré de Balzac
174,Tove Jansson
175,Patrick Leigh Fermor
176,Carl Van Vechten
177,Milton Rokeach
178,C.V. Wedgwood
179,Edward Lewis Wallant
180,Maria Dermout
181,Nancy Mitford
182,Tove Jansson
183,Martin Farquhar Tupper
183,Edgar Allen Poe
183,Robert Merry
183,Elizabeth Oakes Smith
183,Sir Richard Blackmore
183,Erasmus Darwin
183,Adam Lindsay Gordon
183,Robert Montgomery
183,Joseph Cottle
183,Henry Kirke White
183,Henry Wadsworth Longfellow
183,John Duncombe
183,Abraham Cowley
183,Ralph Waldo Emerson
183,John Armstrong
183,Thomas Holley Chivers
183,Robert Burns
183,Elizabeth Barrett Browning
183,William Shenstone
183,Joseph Addison
183,Robert Southey
183,John Close
183,Thomas Sprat
183,Thomas Chatterton
183,Nahum Tate
183,Oliver Goldsmith
183,Colley Cibber
183,"John Sheffield, Duke of Buckinghamshire"
183,John Dryden
183,Charles Mackay
183,Christopher Smart
183,Ambrose Philips
183,Isaac Watts
183,Julia Moore
183,"George Gordon, Lord Byron"
183,Sydney Thompson Dobell
183,"Thomas Warton, the Younger"
183,"Edward Robert Bulwer Lytton, Earl of Lytton"
183,James Henry Leigh Hunt
183,John Keats
183,William Wordsworth
183,Robert Pollok
183,"Alfred, Lord Tennyson"
183,Hannah Cowley
183,George Crabbe
183,Mary Robinson
